URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/reason-medication-status-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.369",SNOMEDCTDrugTherapyStatusCodes,SNOMED CT Drug Therapy Status codes ,"This value set includes some taken and not taken reason codes from SNOMED CT - provided as an exemplar","StructureDefinition/SystemicTherapy","SCT"
http://hl7.org/fhir/ValueSet/referencerange-appliesto,4.0.1,draft,"2.16.840.1.113883.4.642.3.407",ObservationReferenceRangeAppliesToCodes,Observation Reference Range Applies To Codes,"This value set defines a set of codes that can be used to indicate the particular target population the reference range applies to.","StructureDefinition/Histology,StructureDefinition/TNMc,StructureDefinition/TNMp,StructureDefinition/VitalStatus","SCT"
http://hl7.org/fhir/ValueSet/referencerange-meaning,4.0.1,draft,"2.16.840.1.113883.4.642.3.397",ObservationReferenceRangeMeaningCodes,Observation Reference Range Meaning Codes,"This value set defines a set of codes that can be used to indicate the meaning/use of a reference range for a particular target population.","StructureDefinition/Histology,StructureDefinition/TNMc,StructureDefinition/TNMp,StructureDefinition/VitalStatus","THO"
http://hl7.org/fhir/ValueSet/resource-types,4.0.1,active,"2.16.840.1.113883.4.642.3.27",ResourceType,ResourceType,"One of the resource types defined as part of this version of FHIR.","StructureDefinition/Histology,StructureDefinition/SystemicTherapy,StructureDefinition/PrimaryDiagnosis","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/specimen-collection-method,4.0.1,draft,"2.16.840.1.113883.4.642.3.468",FHIRSpecimenCollectionMethod,FHIR Specimen Collection Method," This example value set defines a set of codes that can be used to indicate the method by which a specimen was collected.","StructureDefinition/Specimen","SCT"
http://hl7.org/fhir/ValueSet/specimen-container-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.470",SpecimenContainerType,Specimen Container Type,"Checks on the patient prior specimen collection. All SNOMED CT concepts descendants of 706041008 |Device for body fluid and tissue collection/transfer/processing (physical object)|","StructureDefinition/Specimen","SCT"
http://hl7.org/fhir/ValueSet/specimen-processing-procedure,4.0.1,draft,"2.16.840.1.113883.4.642.3.469",SpecimenProcessingProcedure,Specimen processing procedure,"The technique that is used to perform the process or preserve the specimen.","StructureDefinition/Specimen","THO (V2)"
http://hl7.org/fhir/ValueSet/specimen-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.471",SpecimenStatus,SpecimenStatus,"Codes providing the status/availability of a specimen.","StructureDefinition/Specimen","hl7.fhir.r4.core"
http://terminology.hl7.org/ValueSet/v2-0371,3.0.0,active,"2.16.840.1.113883.21.245",Hl7VSAdditivePreservative,hl7VS-additivePreservative,"Concepts specifying any additive introduced to the specimen before or at the time of collection.  These additives may be introduced in order to preserve, maintain or enhance the particular nature or component of the specimen.  Used in Version 2 messaging in the SPM segment.","StructureDefinition/Specimen","THO (V2)"
http://terminology.hl7.org/ValueSet/v2-0493,3.0.0,active,"2.16.840.1.113883.21.333",Hl7VSSpecimenCondition,hl7VS-specimenCondition,"Concepts of modes or states of being that describe the nature of a specimen.  Used in Version 2 messaging in the SPM segment.","StructureDefinition/Specimen","THO (V2)"
http://terminology.hl7.org/ValueSet/v2-0916,3.0.0,active,"2.16.840.1.113883.21.440",Hl7VSRelevantClincialInformation,hl7VS-relevantClincialInformation,"Value Set of codes that specify additional clinical information about the patient or specimen to report the supporting and/or suspected diagnosis and clinical findings on requests for interpreted diagnostic studies.","StructureDefinition/Specimen","THO (V2)"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/DiagnosticConfirmationVS,0.6.2,draft,,DiagnosticConfirmationVS,Diagnostic Confirmation VS,"Diagnostic Confirmation","StructureDefinition/PrimaryDiagnosis","Internal"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/GeneNomenclatureVS,0.6.2,draft,,GeneNomenclatureVS,Gene Nomenclature VS,"HUGO Gene Nomenclature",,"Other"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/GeneticVariantVS,0.6.2,draft,,GeneticVariantVS,Genetic Variant VS,"Genetic Variant",,"Internal"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/GradingVS,0.6.2,draft,,GradingVS,Grading VS,"Grading (degree of differentiation of the tumor)",,"Internal"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/ICDOVersionVS,0.6.2,draft,,ICDOVersionVS,ICDO Version VS,"ICD-O Version","StructureDefinition/Histology,StructureDefinition/PrimaryDiagnosis","Internal"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/ICDVersionVS,0.6.2,draft,,ICDVersionVS,ICD Version VS,"Version des ICD-10-GM","StructureDefinition/PrimaryDiagnosis","Internal"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/LocalAssessmentResidualTumorVS,0.6.2,draft,,LocalAssessmentResidualTumorVS,Local Assessment Residual Tumor VS,"Residual Tumor","StructureDefinition/Operation","Internal"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/MorphologyICDO3VS,0.6.2,draft,,MorphologyICDO3VS,Morphology ICDO3 VS,"Morphology ICD-O-3 Codes","StructureDefinition/Histology","Other"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/OPIntentionVS,0.6.2,draft,,OPIntentionVS,OP Intention VS,"OP Intention",,"Internal"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/OPOPSVersionVS,0.6.2,draft,,OPOPSVersionVS,OPOPS Version VS,"OPS Version according to Schema","StructureDefinition/Operation","Internal"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/OverallAssessmentResidualTumorVS,0.6.2,draft,,OverallAssessmentResidualTumorVS,Overall Assessment Residual Tumor VS,"Residual Tumor","StructureDefinition/Operation","Internal"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/ProgressionLocalTumorStatusVS,0.6.2,draft,,ProgressionLocalTumorStatusVS,Progression Local Tumor Status VS,"Progression of local Tumor status",,"Internal"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/SYSTIntentionVS,0.6.2,draft,,SYSTIntentionVS,SYST Intention VS,"Intention",,"Internal"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/SYSTTherapyTypeVS,0.6.2,draft,,SYSTTherapyTypeVS,SYST Therapy Type VS,"Type of Therapy","StructureDefinition/Radiotherapy,StructureDefinition/Operation,StructureDefinition/SystemicTherapy","Internal"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/SampleMaterialTypeVS,0.6.2,draft,,SampleMaterialTypeVS,Sample Material Type,"Sample Material Types","StructureDefinition/Specimen","Internal"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/SurgicalComplicationsVS,0.6.2,draft,,SurgicalComplicationsVS,Surgical Complications VS,"Surgical Complications","StructureDefinition/Operation","Internal"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/TNMLCategoryVS,0.6.2,draft,,TNMLCategoryVS,TNML Category VS,"Lymphatic vessel invasion. Generally occurs as part of a pTNM","StructureDefinition/TNMc,StructureDefinition/TNMp","Internal"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/TNMMVS,0.6.2,draft,,TNMMVS,TNMM VS,"TNM M-Category","StructureDefinition/TNMc,StructureDefinition/TNMp","Internal"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/TNMNVS,0.6.2,draft,,TNMNVS,TNMN VS,"TNM N-Category","StructureDefinition/TNMc,StructureDefinition/TNMp","Internal"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/TNMPnCategoryVS,0.6.2,draft,,TNMPnCategoryVS,TNMPn Category VS,"Perineural invasion. Generally occurs as part of a pTNM.","StructureDefinition/TNMc,StructureDefinition/TNMp","Internal"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/TNMSCategoryVS,0.6.2,draft,,TNMSCategoryVS,TNMS Category VS,"Perineural invasion. Generally occurs as part of a pTNM.","StructureDefinition/TNMc,StructureDefinition/TNMp","Internal"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/TNMTVS,0.6.2,draft,,TNMTVS,TNMT VS,"TNM T-Category","StructureDefinition/TNMc,StructureDefinition/TNMp","Internal"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/TNMVCategoryVS,0.6.2,draft,,TNMVCategoryVS,TNMV Category VS,"Vein invasion. Generally performed as part of a pTNM.","StructureDefinition/TNMc,StructureDefinition/TNMp","Internal"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/TNMVersionVS,0.6.2,draft,,TNMVersionVS,TNM Version VS,"TNM Version","StructureDefinition/TNMc,StructureDefinition/TNMp","Internal"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/TNMmSymbolVS,0.6.2,draft,,TNMmSymbolVS,TNMm Symbol VS,"TNM m-Symbol","StructureDefinition/TNMc,StructureDefinition/TNMp","Internal"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/TNMrSymbolVS,0.6.2,draft,,TNMrSymbolVS,TNMr Symbol VS,"TNM r-Symbol","StructureDefinition/TNMc,StructureDefinition/TNMp","Internal"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/TNMySymbolVS,0.6.2,draft,,TNMySymbolVS,TNMy Symbol VS,"TNM y-Symbol","StructureDefinition/TNMc,StructureDefinition/TNMp","Internal"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/TopographyICDO3VS,0.6.2,draft,,TopographyICDO3VS,Topography ICDO3 VS,"Topography ICD-O-3 Codes","StructureDefinition/PrimaryDiagnosis","Other"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/TumorSiteLocationVS,0.6.2,draft,,TumorSiteLocationVS,Tumor Site Location VS,"Lateral location of the tumor","StructureDefinition/PrimaryDiagnosis","Internal"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/UICCStageVS,0.6.2,draft,,UICCStageVS,UICC Stage VS,"UICC Stage","StructureDefinition/TNMc,StructureDefinition/TNMp","Internal"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/VitalStatusVS,0.6.2,draft,,VitalStatusVS,Vital Status VS,"VitalStatus","StructureDefinition/VitalStatus","Internal"
https://www.cancercoreeurope.eu/fhir/core/ValueSet/YNUVS,0.6.2,draft,,YNUVS,YNU VS,"Yes / No / Unknown",,"Internal"
